2023-11-19 17:40:56,434 - root - INFO - Epoch 44; loss: 10.281240463256836; CER: 0.7279796004295349; WER: 0.9861111044883728; val_loss: 8.355202674865723; val_CER: 0.6033653616905212; val_WER: 0.9807692170143127
2023-11-19 17:41:10,485 - root - INFO - Epoch 45; loss: 10.065686225891113; CER: 0.7102029919624329; WER: 0.9914529919624329; val_loss: 8.449564933776855; val_CER: 0.6274038553237915; val_WER: 0.9903846383094788
2023-11-19 17:41:17,856 - root - INFO - Epoch 46; loss: 9.981674194335938; CER: 0.6987179517745972; WER: 0.9903846383094788; val_loss: 9.231112480163574; val_CER: 0.7043269276618958; val_WER: 0.9903846383094788
2023-11-19 17:41:24,116 - root - INFO - Epoch 47; loss: 9.811595916748047; CER: 0.6995192170143127; WER: 0.9861111044883728; val_loss: 8.141114234924316; val_CER: 0.6225961446762085; val_WER: 0.9903846383094788
2023-11-19 17:41:34,581 - root - INFO - Epoch 48; loss: 9.463496208190918; CER: 0.6725427508354187; WER: 0.9839743375778198; val_loss: 7.721780776977539; val_CER: 0.5745192170143127; val_WER: 0.9711538553237915
2023-11-19 17:41:52,751 - root - INFO - Epoch 49; loss: 9.2373628616333; CER: 0.6625415682792664; WER: 0.9775640964508057; val_loss: 7.4670915603637695; val_CER: 0.5384615659713745; val_WER: 0.9615384340286255
2023-11-19 17:42:05,207 - root - INFO - Epoch 50; loss: 9.04880428314209; CER: 0.6462488174438477; WER: 0.9743589758872986; val_loss: 6.971266746520996; val_CER: 0.5336538553237915; val_WER: 0.9615384340286255
2023-11-19 17:42:16,287 - root - INFO - Epoch 51; loss: 8.864952087402344; CER: 0.6327457427978516; WER: 0.9722222089767456; val_loss: 7.0785040855407715; val_CER: 0.5; val_WER: 0.9519230723381042
2023-11-19 17:42:28,282 - root - INFO - Epoch 52; loss: 8.835654258728027; CER: 0.632478654384613; WER: 0.9658119678497314; val_loss: 6.7356486320495605; val_CER: 0.5168269276618958; val_WER: 0.9711538553237915
2023-11-19 17:42:48,307 - root - INFO - Epoch 53; loss: 8.37171459197998; CER: 0.6033653616905212; WER: 0.9711538553237915; val_loss: 6.32382869720459; val_CER: 0.4639423191547394; val_WER: 0.9230769276618958
2023-11-19 17:42:59,971 - root - INFO - Epoch 54; loss: 8.334900856018066; CER: 0.5982906222343445; WER: 0.9615384340286255; val_loss: 6.725882530212402; val_CER: 0.5120192170143127; val_WER: 0.9615384340286255
2023-11-19 17:43:15,661 - root - INFO - Epoch 55; loss: 8.322579383850098; CER: 0.6008428335189819; WER: 0.9497863054275513; val_loss: 6.458821773529053; val_CER: 0.48317307233810425; val_WER: 0.932692289352417
2023-11-19 17:43:25,758 - root - INFO - Epoch 56; loss: 8.03083610534668; CER: 0.5763888955116272; WER: 0.9551281929016113; val_loss: 6.880245685577393; val_CER: 0.5336538553237915; val_WER: 1.0
2023-11-19 17:43:37,410 - root - INFO - Epoch 57; loss: 7.93816614151001; CER: 0.5787927508354187; WER: 0.9561966061592102; val_loss: 6.176738739013672; val_CER: 0.4326923191547394; val_WER: 0.8942307829856873
2023-11-19 17:43:49,157 - root - INFO - Epoch 58; loss: 7.579131126403809; CER: 0.5528846383094788; WER: 0.938034176826477; val_loss: 5.795953273773193; val_CER: 0.41826921701431274; val_WER: 0.8846153616905212
2023-11-19 17:43:59,261 - root - INFO - Epoch 59; loss: 7.373004913330078; CER: 0.5413995981216431; WER: 0.9433760643005371; val_loss: 6.032886028289795; val_CER: 0.45192307233810425; val_WER: 0.9038461446762085
2023-11-19 17:44:05,331 - root - INFO - Epoch 60; loss: 7.196893692016602; CER: 0.5231184959411621; WER: 0.9305555820465088; val_loss: 5.466672420501709; val_CER: 0.4086538553237915; val_WER: 0.8653846383094788
2023-11-19 17:44:15,755 - root - INFO - Epoch 61; loss: 7.119466781616211; CER: 0.5219017267227173; WER: 0.9220085740089417; val_loss: 5.419728755950928; val_CER: 0.4014423191547394; val_WER: 0.8557692170143127
2023-11-19 17:44:25,801 - root - INFO - Epoch 62; loss: 7.1221537590026855; CER: 0.5077457427978516; WER: 0.9220085740089417; val_loss: 5.424955368041992; val_CER: 0.4038461446762085; val_WER: 0.8942307829856873
2023-11-19 17:44:38,381 - root - INFO - Epoch 63; loss: 6.798961639404297; CER: 0.5002670884132385; WER: 0.9134615659713745; val_loss: 5.634519577026367; val_CER: 0.42307692766189575; val_WER: 0.9134615659713745
2023-11-19 17:44:45,813 - root - INFO - Epoch 64; loss: 6.779505729675293; CER: 0.48317307233810425; WER: 0.9081196784973145; val_loss: 5.143008708953857; val_CER: 0.3774038553237915; val_WER: 0.8461538553237915
2023-11-19 17:44:59,166 - root - INFO - Epoch 65; loss: 6.497402667999268; CER: 0.4778311848640442; WER: 0.9017093777656555; val_loss: 4.809505939483643; val_CER: 0.3389423191547394; val_WER: 0.7980769276618958
2023-11-19 17:45:11,543 - root - INFO - Epoch 66; loss: 6.439926624298096; CER: 0.467414528131485; WER: 0.8782051205635071; val_loss: 4.7936201095581055; val_CER: 0.36057692766189575; val_WER: 0.8269230723381042
2023-11-19 17:45:30,117 - root - INFO - Epoch 67; loss: 6.385777950286865; CER: 0.4628739356994629; WER: 0.8760683536529541; val_loss: 4.359137058258057; val_CER: 0.32451921701431274; val_WER: 0.7884615659713745
2023-11-19 17:45:38,992 - root - INFO - Epoch 68; loss: 6.211317539215088; CER: 0.4561965763568878; WER: 0.872863233089447; val_loss: 4.923360347747803; val_CER: 0.35336539149284363; val_WER: 0.807692289352417
2023-11-19 17:45:50,423 - root - INFO - Epoch 69; loss: 6.0912580490112305; CER: 0.43910256028175354; WER: 0.8632478713989258; val_loss: 4.779443264007568; val_CER: 0.3413461446762085; val_WER: 0.7884615659713745
